"","Offense","Seattle_neighborhoods"
"3372","Robbery","BALLARD NORTH"
"5323","Robbery","BALLARD NORTH"
"5440","Robbery","BALLARD NORTH"
"6222","Robbery","BALLARD NORTH"
"8415","Robbery","BALLARD NORTH"
"11707","Robbery","BALLARD NORTH"
"15405","Robbery","BALLARD NORTH"
"16120","Robbery","BALLARD NORTH"
"17247","Robbery","BALLARD NORTH"
"23852","Robbery","BALLARD NORTH"
"25539","Robbery","BALLARD NORTH"
"25557","Robbery","BALLARD NORTH"
"27530","Robbery","BALLARD NORTH"
"30772","Robbery","BALLARD NORTH"
"32953","Robbery","BALLARD NORTH"
"34445","Robbery","BALLARD NORTH"
"34786","Robbery","BALLARD NORTH"
"34962","Robbery","BALLARD NORTH"
"35488","Robbery","BALLARD NORTH"
"35628","Robbery","BALLARD NORTH"
"37350","Robbery","BALLARD NORTH"
"40971","Robbery","BALLARD NORTH"
"65395","Robbery","BALLARD NORTH"
"97776","Robbery","BALLARD NORTH"
"4910","Robbery","BALLARD SOUTH"
"6041","Robbery","BALLARD SOUTH"
"6777","Robbery","BALLARD SOUTH"
"7357","Robbery","BALLARD SOUTH"
"8885","Robbery","BALLARD SOUTH"
"9608","Robbery","BALLARD SOUTH"
"9691","Robbery","BALLARD SOUTH"
"10773","Robbery","BALLARD SOUTH"
"11626","Robbery","BALLARD SOUTH"
"13991","Robbery","BALLARD SOUTH"
"14540","Robbery","BALLARD SOUTH"
"17215","Robbery","BALLARD SOUTH"
"17473","Robbery","BALLARD SOUTH"
"18678","Robbery","BALLARD SOUTH"
"19856","Robbery","BALLARD SOUTH"
"22340","Robbery","BALLARD SOUTH"
"23409","Robbery","BALLARD SOUTH"
"25275","Robbery","BALLARD SOUTH"
"25352","Robbery","BALLARD SOUTH"
"26763","Robbery","BALLARD SOUTH"
"27449","Robbery","BALLARD SOUTH"
"28472","Robbery","BALLARD SOUTH"
"31085","Robbery","BALLARD SOUTH"
"31471","Robbery","BALLARD SOUTH"
"32395","Robbery","BALLARD SOUTH"
"33300","Robbery","BALLARD SOUTH"
"34882","Robbery","BALLARD SOUTH"
"35856","Robbery","BALLARD SOUTH"
"35947","Robbery","BALLARD SOUTH"
"36030","Robbery","BALLARD SOUTH"
"37307","Robbery","BALLARD SOUTH"
"38618","Robbery","BALLARD SOUTH"
"39229","Robbery","BALLARD SOUTH"
"63181","Robbery","BALLARD SOUTH"
"65380","Robbery","BALLARD SOUTH"
"65570","Robbery","BALLARD SOUTH"
"66466","Robbery","BALLARD SOUTH"
"75740","Robbery","BALLARD SOUTH"
"82111","Robbery","BALLARD SOUTH"
"96955","Robbery","BALLARD SOUTH"
"161568","Robbery","BALLARD SOUTH"
"183980","Robbery","BALLARD SOUTH"
